sku,product_name,quantity,last_scanned,status
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,120,2025-08-01 08:15:00,IN
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,200,2025-08-01 09:00:00,IN
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,100,2025-08-01 08:20:00,IN
MUJ-NBK003,Muji Notebook A6 Ruled 30 Sheets,150,2025-08-02 07:50:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,30,2025-08-02 09:45:00,OUT
MUJ-ERAS001,Muji Retractable Eraser,90,2025-08-01 08:45:00,IN
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,25,2025-08-03 11:00:00,OUT
MUJ-HIL001,Muji Highlighter Yellow,80,2025-08-01 07:55:00,IN
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,110,2025-08-02 09:10:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,50,2025-08-05 10:10:00,IN
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,40,2025-08-03 14:30:00,OUT
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,40,2025-08-06 09:10:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,20,2025-08-07 15:30:00,OUT
MUJ-NBK003,Muji Notebook A6 Ruled 30 Sheets,35,2025-08-04 15:10:00,OUT
MUJ-ERAS001,Muji Retractable Eraser,20,2025-08-03 10:20:00,OUT
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,40,2025-08-04 13:20:00,OUT
MUJ-HIL001,Muji Highlighter Yellow,20,2025-08-03 09:30:00,OUT
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,40,2025-08-12 13:20:00,IN
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,60,2025-08-08 10:20:00,OUT
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,30,2025-08-10 16:50:00,OUT
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,50,2025-08-09 11:00:00,IN
MUJ-NBK003,Muji Notebook A6 Ruled 30 Sheets,50,2025-08-09 13:40:00,OUT
MUJ-ERAS001,Muji Retractable Eraser,30,2025-08-07 14:50:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,15,2025-08-15 09:00:00,OUT
MUJ-PEN002,Muji Gel Ink Pen 0.5mm Blue,50,2025-08-14 08:45:00,IN
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,30,2025-08-13 16:10:00,OUT
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,100,2025-08-11 08:10:00,IN
MUJ-HIL001,Muji Highlighter Yellow,30,2025-08-06 15:40:00,IN
MUJ-NBK003,Muji Notebook A6 Ruled 30 Sheets,80,2025-08-12 10:25:00,IN
MUJ-PEN001,Muji Gel Ink Pen 0.5mm Black,35,2025-08-18 14:20:00,IN
MUJ-NBK002,Muji Notebook A5 Ruled 30 Sheets,50,2025-08-15 15:40:00,OUT
MUJ-NBK003,Muji Notebook A6 Ruled 30 Sheets,25,2025-08-17 11:55:00,OUT
MUJ-MECH001,Muji Mechanical Pencil 0.5mm,20,2025-08-17 12:25:00,OUT
MUJ-ERAS001,Muji Retractable Eraser,15,2025-08-18 10:10:00,OUT
MUJ-STA001,Muji Sticky Notes 75x75mm,150,2025-08-02 08:05:00,IN
MUJ-FILE001,Muji Clear File A4 20 Pockets,70,2025-08-01 08:30:00,IN
MUJ-ORG001,Muji PP Storage Box Small,50,2025-08-02 08:40:00,IN
MUJ-ERAS002,Muji Correction Tape 5mm,60,2025-08-01 09:25:00,IN
MUJ-CASE001,Muji Pencil Case Mesh,40,2025-08-02 08:50:00,IN
MUJ-ACC001,Muji Ruler 30cm,70,2025-08-01 08:55:00,IN
MUJ-FILE002,Muji PP Document Case A4,50,2025-08-02 09:05:00,IN
MUJ-NBK004,Muji Binder A5 20 Rings,90,2025-08-01 09:20:00,IN
MUJ-NBK005,Muji Loose Leaf Paper A5,200,2025-08-02 09:30:00,IN
MUJ-STA002,Muji Index Tabs 5 Colors,80,2025-08-01 09:10:00,IN
MUJ-GLU001,Muji Glue Stick 10g,60,2025-08-02 08:20:00,IN
MUJ-ACC002,Muji Scissors Small,40,2025-08-01 07:50:00,IN
MUJ-ORG002,Muji Desk Organizer PP,30,2025-08-02 07:45:00,IN
MUJ-NBK006,Muji Spiral Notebook B5,180,2025-08-01 10:15:00,IN
MUJ-STA003,Muji Sticky Memo Pads,100,2025-08-02 09:55:00,IN
MUJ-PEN003,Muji Fountain Pen Black,30,2025-08-01 08:35:00,IN
MUJ-ACC003,Muji Acrylic Pen Stand,25,2025-08-03 10:10:00,IN
MUJ-ACC004,Muji Washi Tape 15mm,60,2025-08-01 09:05:00,IN
MUJ-ACC005,Muji Portable Scissors,35,2025-08-02 08:40:00,IN
MUJ-STA004,Muji Sticky Label Set,90,2025-08-01 10:30:00,IN
MUJ-STA001,Muji Sticky Notes 75x75mm,40,2025-08-05 11:50:00,OUT
MUJ-FILE001,Muji Clear File A4 20 Pockets,15,2025-08-04 10:00:00,OUT
MUJ-ORG001,Muji PP Storage Box Small,10,2025-08-05 13:15:00,OUT
MUJ-ERAS002,Muji Correction Tape 5mm,15,2025-08-03 11:55:00,OUT
MUJ-CASE001,Muji Pencil Case Mesh,12,2025-08-04 12:30:00,OUT
MUJ-ACC001,Muji Ruler 30cm,15,2025-08-05 09:15:00,OUT
MUJ-FILE002,Muji PP Document Case A4,10,2025-08-06 11:25:00,OUT
MUJ-NBK004,Muji Binder A5 20 Rings,25,2025-08-04 14:50:00,OUT
MUJ-NBK005,Muji Loose Leaf Paper A5,50,2025-08-06 12:20:00,OUT
MUJ-STA002,Muji Index Tabs 5 Colors,20,2025-08-03 10:35:00,OUT
